,ID,PF
440,O14929,PF10394
441,O14931,PF07686
442,O14933,PF00179
443,O14948,PF11851
444,O14948,PF00010
445,O14949,PF02939
446,O14950,PF08976
447,O14950,PF13405
448,O14957,PF08997
449,O14958,PF01216
450,O14960,PF01551
451,O14965,PF00069
452,O14966,PF00071
453,O14967,PF00262
454,O14972,PF03643
455,O14975,PF13193
456,O14975,PF00501
457,O14977,PF02784
458,O14977,PF00278
459,O14978,PF01352
460,O14978,PF02023
461,O14978,PF00096
462,O14979,PF00076
463,O14986,PF01504
464,O14994,PF10581
465,O14994,PF02078
466,O14994,PF02750
467,O15062,PF00651
468,O15079,PF15290
469,O15091,PF16953
470,O15105,PF03166
471,O15105,PF03165
472,O15116,PF01423
473,O15120,PF01553
474,O15121,PF00487
475,O15121,PF08557
476,O15123,PF00147
477,O15126,PF04144
478,O15127,PF04144
479,O15130,PF15085
480,O15131,PF16186
481,O15131,PF00514
482,O15131,PF01749
483,O15143,PF00400
484,O15144,PF04045
485,O15145,PF04062
486,O15151,PF02201
487,O15151,PF00641
488,O15151,PF13920
489,O15156,PF00651
490,O15156,PF00096
491,O15160,PF01000
492,O15160,PF01193
493,O15162,PF03803
494,O15165,PF00057
495,O15173,PF00173
496,O15178,PF00907
497,O15182,PF13499
498,O15194,PF03031
499,O15198,PF03166
500,O15198,PF03165
501,O15205,PF00240
502,O15209,PF00651
503,O15212,PF01920
504,O15213,PF08149
505,O15217,PF02798
506,O15217,PF14497
507,O15218,PF00001
508,O15226,PF01585
509,O15226,PF01424
510,O15228,PF19277
511,O15228,PF01553
512,O15229,PF01494
513,O15232,PF00092
514,O15232,PF10393
515,O15232,PF14670
516,O15235,PF00164
517,O15239,PF15879
518,O15243,PF04133
519,O15244,PF00083
520,O15245,PF00083
521,O15247,PF13410
522,O15247,PF13409
523,O15258,PF03248
524,O15260,PF02077
525,O15263,PF00711
526,O15264,PF00069
527,O15269,PF00155
528,O15270,PF00155
529,O15273,PF09470
530,O15296,PF01477
531,O15296,PF00305
532,O15297,PF00481
533,O15304,PF05458
534,O15305,PF03332
535,O15315,PF08423
536,O15318,PF11705
537,O15321,PF02990
538,O15342,PF05493
539,O15344,PF00643
540,O15344,PF00622
541,O15344,PF18568
542,O15344,PF13445
543,O15344,PF00041
544,O15344,PF13765
545,O15350,PF00870
546,O15350,PF07647
547,O15350,PF07710
548,O15353,PF00250
549,O15354,PF00001
550,O15355,PF00481
551,O15370,PF00505
552,O15371,PF05091
553,O15372,PF01398
554,O15372,PF19445
555,O15374,PF07690
556,O15375,PF07690
557,O15379,PF00850
558,O15382,PF01063
559,O15392,PF00653
560,O15393,PF15494
561,O15393,PF00089
562,O15400,PF14523
563,O15400,PF05739
564,O15403,PF07690
565,O15427,PF07690
566,O15431,PF04145
567,O15432,PF04145
568,O15444,PF00048
569,O15446,PF08208
570,O15460,PF08336
571,O15460,PF13640
572,O15466,PF00777
573,O15467,PF00048
574,O15484,PF00648
575,O15484,PF00168
576,O15484,PF01067
577,O15488,PF01501
578,O15492,PF00615
579,O15496,PF00068
580,O15498,PF13774
581,O15498,PF00957
582,O15503,PF07281
583,O15511,PF04699
584,O15514,PF03874
585,O15519,PF01335
586,O15519,PF00656
587,O15520,PF00167
588,O15523,PF00270
589,O15523,PF00271
590,O15524,PF00017
591,O15525,PF03131
592,O15527,PF00730
593,O15527,PF07934
594,O15528,PF00067
595,O15529,PF00001
596,O15530,PF14593
597,O15530,PF00069
598,O15533,PF07654
599,O15537,PF00754
600,O15539,PF00615
601,O15540,PF00061
602,O15547,PF00864
603,O15551,PF00822
604,O15552,PF00001
605,O15554,PF07885
606,O15554,PF02888
607,O15554,PF03530
608,O43148,PF03291
609,O43155,PF13855
610,O43155,PF00041
611,O43155,PF01463
612,O43159,PF05148
613,O43169,PF00173
614,O43172,PF08799
615,O43172,PF00400
616,O43173,PF00777
617,O43174,PF00067
618,O43175,PF00389
619,O43175,PF02826
620,O43175,PF19304
621,O43181,PF04800
622,O43187,PF00069
623,O43187,PF00531
624,O43189,PF18104
625,O43189,PF14061
626,O43189,PF00628
627,O43193,PF00001
628,O43194,PF00001
629,O43236,PF00735
630,O43237,PF05783
631,O43240,PF00089
632,O43242,PF08375
633,O43242,PF01399
634,O43246,PF13906
635,O43246,PF13520
636,O43248,PF12045
637,O43248,PF00046
638,O43251,PF00076
639,O43251,PF12414
640,O43252,PF01747
641,O43252,PF01583
642,O43252,PF14306
643,O43255,PF03145
644,O43257,PF04438
645,O43272,PF01619
646,O43278,PF07502
647,O43278,PF00014
648,O43278,PF00057
649,O43280,PF01204
650,O43281,PF14604
651,O43281,PF12026
652,O43286,PF13733
653,O43286,PF02709
654,O43291,PF00014
655,O43292,PF04114
656,O43294,PF00412
657,O43294,PF03535
658,O43307,PF00621
659,O43307,PF00018
660,O43307,PF00169
661,O43310,PF02854
662,O43315,PF00230
663,O43316,PF00292
664,O43316,PF00046
665,O43318,PF07714
666,O43320,PF00167
667,O43324,PF00043
668,O43325,PF05347
669,O43353,PF00619
670,O43353,PF07714
671,O43364,PF00046
672,O43365,PF13293
673,O43365,PF00046
674,O43390,PF00076
675,O43390,PF18360
676,O43395,PF01480
677,O43395,PF06544
678,O43395,PF08572
679,O43396,PF06201
680,O43396,PF00085
681,O43399,PF04201
682,O43402,PF03665
683,O43405,PF00092
684,O43405,PF03815
685,O43427,PF05427
686,O43435,PF00907
687,O43439,PF07531
688,O43439,PF08788
689,O43439,PF01753
690,O43447,PF00160
691,O43448,PF00248
692,O43462,PF02163
693,O43463,PF00856
694,O43463,PF05033
695,O43463,PF00385
696,O43464,PF13365
697,O43464,PF17820
698,O43474,PF00096
699,O43482,PF03226
700,O43488,PF00248
701,O43493,PF17818
702,O43502,PF08423
703,O43504,PF16672
704,O43505,PF13896
705,O43508,PF00229
706,O43513,PF05983
707,O43516,PF02205
708,O43521,PF08945
709,O43521,PF06773
710,O43524,PF00250
711,O43524,PF16675
712,O43524,PF16676
713,O43529,PF03567
714,O43541,PF03166
715,O43541,PF03165
716,O43542,PF08423
717,O43543,PF08423
718,O43555,PF00446
719,O43556,PF05510
720,O43557,PF00229
721,O43559,PF02174
722,O43561,PF15234
723,O43566,PF02188
724,O43566,PF02196
725,O43566,PF00615
726,O43567,PF13639
727,O43567,PF02225
728,O43570,PF00194
729,O43572,PF00615
730,O43581,PF00168
731,O43586,PF00611
732,O43586,PF14604
733,O43597,PF05210
734,O43598,PF05014
735,O43602,PF03607
736,O43603,PF00001
737,O43609,PF05210
738,O43612,PF02072
739,O43613,PF00001
740,O43614,PF03827
741,O43614,PF00001
742,O43615,PF04280
743,O43617,PF04051
744,O43623,PF00096
745,O43633,PF03357
746,O43639,PF14604
747,O43639,PF00017
748,O43639,PF00018
749,O43653,PF00021
750,O43657,PF00335
751,O43660,PF00400
752,O43663,PF03999
753,O43665,PF00615
754,O43674,PF09781
755,O43676,PF08122
756,O43677,PF15088
757,O43678,PF05047
758,O43679,PF17916
759,O43679,PF01803
760,O43680,PF00010
761,O43681,PF02374
762,O43684,PF00400
763,O43687,PF10470
764,O43688,PF01569
765,O43692,PF00188
766,O43699,PF00047
767,O43699,PF07679
768,O43699,PF07686
769,O43708,PF13417
770,O43708,PF14497
771,O43709,PF12589
772,O43709,PF08241
773,O43715,PF05254
774,O43716,PF02686
775,O43731,PF00810
776,O43739,PF01369
777,O43739,PF00169
778,O43741,PF16561
779,O43741,PF04739
780,O43745,PF00036
781,O43745,PF13202
782,O43749,PF13853
783,O43752,PF09177
784,O43752,PF05739
785,O43760,PF01284
786,O43765,PF00515
787,O43765,PF16546
788,O43765,PF13181
789,O43766,PF04055
790,O43766,PF16881
791,O43768,PF04667
792,O43772,PF00153
793,O43776,PF00152
794,O43776,PF01336
795,O43781,PF00069
796,O43790,PF00038
797,O43790,PF16208
798,O43791,PF00917
799,O43791,PF00651
800,O43808,PF00153
801,O43809,PF13869
802,O43812,PF00046
803,O43813,PF05147
804,O43818,PF00400
805,O43819,PF02630
806,O43820,PF01630
807,O43823,PF04988
808,O43826,PF07690
809,O43829,PF00651
810,O43829,PF00096
811,O43837,PF00180
812,O43852,PF13833
813,O43854,PF00008
814,O43854,PF12661
815,O43854,PF00754
816,O43865,PF05221
817,O43865,PF00670
818,O43866,PF00530
819,O43868,PF07662
820,O43868,PF01773
821,O43868,PF07670
822,O43869,PF13853
823,O43889,PF00170
824,O43895,PF00557
825,O43895,PF01321
826,O43895,PF16189
827,O43895,PF16188
828,O43903,PF00307
829,O43903,PF02187
830,O43913,PF14630
831,O43913,PF13191
832,O43915,PF03128
833,O43915,PF00341
834,O43916,PF00685
835,O43920,PF10200
836,O43921,PF00812
837,O43924,PF05351
838,O43927,PF00048
839,O43929,PF13191
840,O43929,PF14629
841,O60216,PF04825
842,O60216,PF04824
843,O60218,PF00248
844,O60220,PF02953
845,O60235,PF01390
846,O60235,PF00089
847,O60238,PF06553
848,O60239,PF05276
849,O60243,PF03567
850,O60258,PF00167
851,O60259,PF00089
852,O60260,PF17976
853,O60260,PF00240
854,O60260,PF17978
855,O60262,PF00631
856,O60285,PF00069
857,O60291,PF13920
858,O60294,PF13964
859,O60294,PF04072
860,O60304,PF01352
861,O60304,PF02023
862,O60304,PF00096
863,O60331,PF01504
864,O60356,PF10195
865,O60359,PF00822
866,O60361,PF00334
867,O60381,PF08517
868,O60381,PF00505
869,O60403,PF13853
870,O60404,PF13853
871,O60412,PF13853
872,O60427,PF00487
873,O60427,PF00173
874,O60431,PF13853
875,O60443,PF17708
876,O60443,PF04598
877,O60476,PF01532
878,O60481,PF00096
879,O60481,PF18366
880,O60487,PF07686
881,O60493,PF00787
882,O60496,PF02174
883,O60499,PF09177
884,O60499,PF05739
885,O60504,PF14604
886,O60504,PF00018
887,O60504,PF02208
888,O60506,PF00076
889,O60506,PF18360
890,O60507,PF13469
891,O60508,PF00400
892,O60512,PF13733
893,O60512,PF02709
894,O60513,PF13733
895,O60513,PF02709
896,O60516,PF05456
897,O60542,PF00019
898,O60547,PF16363
899,O60551,PF02799
900,O60551,PF01233
901,O60573,PF01652
902,O60609,PF02351
903,O60613,PF08806
904,O60635,PF00335
905,O60636,PF00335
906,O60637,PF00335
907,O60656,PF00201
908,O60662,PF01344
909,O60662,PF07707
910,O60662,PF00651
911,O60663,PF00412
912,O60663,PF00046
913,O60664,PF03036
914,O60669,PF07690
915,O60671,PF02144
916,O60675,PF03131
917,O60682,PF00010
918,O60683,PF04757
919,O60683,PF13920
920,O60684,PF16186
921,O60684,PF00514
922,O60684,PF01749
923,O60687,PF02494
924,O60687,PF13778
925,O60687,PF00084
926,O60701,PF03720
927,O60701,PF03721
928,O60701,PF00984
929,O60704,PF13469
930,O60711,PF00412
931,O60725,PF04140
932,O60729,PF00782
933,O60729,PF14671
934,O60749,PF00787
935,O60749,PF09325
936,O60749,PF03700
937,O60755,PF00001
938,O60759,PF00595
939,O60760,PF02798
940,O60760,PF14497
941,O60762,PF00535
942,O60765,PF01352
943,O60765,PF00096
944,O60779,PF01770
945,O60783,PF00253
946,O60784,PF03127
947,O60784,PF00790
948,O60814,PF00125
949,O60825,PF01591
950,O60825,PF00300
951,O60830,PF02466
952,O60832,PF01472
953,O60832,PF01509
954,O60832,PF16198
955,O60832,PF08068
956,O60844,PF01419
957,O60858,PF00643
958,O60858,PF13445
959,O60869,PF08523
960,O60869,PF01381
961,O60870,PF18131
962,O60870,PF10357
963,O60880,PF00017
964,O60882,PF00413
965,O60882,PF01471
966,O60882,PF00045
967,O60883,PF00001
968,O60884,PF00684
969,O60884,PF01556
970,O60884,PF00226
971,O60888,PF03091
972,O60894,PF04901
973,O60895,PF04901
974,O60896,PF04901
975,O60906,PF03372
976,O60907,PF08513
977,O60907,PF00400
978,O60909,PF13733
979,O60909,PF02709
980,O60911,PF08246
981,O60911,PF00112
982,O60921,PF04005
983,O60931,PF04193
984,O60936,PF00619
985,O60938,PF13855
986,O60939,PF07686
987,O60942,PF00782
988,O60942,PF03919
989,O60942,PF01331
990,O75015,PF13895
991,O75019,PF13895
992,O75022,PF13895
993,O75030,PF11851
994,O75030,PF15951
995,O75030,PF00010
996,O75056,PF01034
997,O75063,PF06702
998,O75072,PF04991
999,O75072,PF19737
1000,O75081,PF07531
1001,O75081,PF08788
1002,O75081,PF01753
1003,O75083,PF00400
1004,O75084,PF01392
1005,O75084,PF01534
1006,O75121,PF07679
1007,O75131,PF00168
1008,O75131,PF07002
1009,O75143,PF10033
1010,O75144,PF07686
1011,O75167,PF02755
1012,O75177,PF05030
1013,O75190,PF00226
1014,O75191,PF00370
1015,O75191,PF02782
1016,O75192,PF05648
1017,O75208,PF08511
1018,O75223,PF13772
1019,O75251,PF01058
1020,O75264,PF15807
1021,O75293,PF01248
1022,O75298,PF02453
1023,O75306,PF00346
1024,O75311,PF02931
1025,O75311,PF02932
1026,O75312,PF03367
1027,O75319,PF00782
1028,O75323,PF07978
1029,O75326,PF13895
1030,O75326,PF01403
1031,O75326,PF01437
1032,O75340,PF13202
1033,O75340,PF13499
1034,O75347,PF02970
1035,O75348,PF03179
1036,O75351,PF04212
1037,O75351,PF09336
1038,O75351,PF17862
1039,O75351,PF00004
1040,O75352,PF04193
1041,O75354,PF01150
1042,O75356,PF01150
1043,O75367,PF16211
1044,O75367,PF01661
1045,O75367,PF00125
1046,O75368,PF04908
1047,O75379,PF00957
1048,O75380,PF10276
1049,O75381,PF04695
1050,O75386,PF16322
1051,O75386,PF01167
1052,O75387,PF07690
1053,O75388,PF00001
1054,O75390,PF00285
1055,O75394,PF00471
1056,O75396,PF13774
1057,O75396,PF00957
1058,O75398,PF01342
1059,O75398,PF01753
1060,O75414,PF00334
1061,O75419,PF02724
1062,O75427,PF13855
1063,O75427,PF00307
1064,O75431,PF17171
1065,O75431,PF10568
1066,O75436,PF03643
1067,O75438,PF08040
1068,O75444,PF03131
1069,O75444,PF08383
1070,O75446,PF13867
1071,O75446,PF13866
1072,O75449,PF09336
1073,O75449,PF17862
1074,O75449,PF00004
1075,O75452,PF00106
1076,O75461,PF02319
1077,O75461,PF16421
1078,O75462,PF09067
1079,O75462,PF00041
1080,O75469,PF00105
1081,O75469,PF00104
1082,O75474,PF05350
1083,O75475,PF00855
1084,O75475,PF11467
1085,O75477,PF01145
1086,O75478,PF04433
1087,O75478,PF00249
1088,O75486,PF02269
1089,O75487,PF01153
1090,O75489,PF00329
1091,O75494,PF00076
1092,O75496,PF07412
1093,O75503,PF15014
1094,O75506,PF06825
1095,O75508,PF00822
1096,O75509,PF00020
1097,O75509,PF00531
1098,O75521,PF00887
1099,O75521,PF00378
1100,O75525,PF16274
1101,O75525,PF16568
1102,O75525,PF00013
1103,O75528,PF10198
1104,O75529,PF00400
1105,O75529,PF04494
1106,O75530,PF00400
1107,O75531,PF02961
1108,O75553,PF00640
1109,O75554,PF06220
1110,O75554,PF00397
1111,O75556,PF01099
1112,O75563,PF00018
1113,O75563,PF00169
1114,O75569,PF16482
1115,O75569,PF00035
1116,O75570,PF03462
1117,O75570,PF00472
1118,O75575,PF03874
1119,O75586,PF04934
1120,O75593,PF00250
1121,O75594,PF01510
1122,O75600,PF00155
1123,O75602,PF00514
1124,O75604,PF00443
1125,O75608,PF02230
1126,O75616,PF01926
1127,O75629,PF13883
1128,O75636,PF00147
1129,O75638,PF09341
1130,O75648,PF03054
1131,O75663,PF04176
1132,O75674,PF03127
1133,O75674,PF00790
1134,O75683,PF04935
1135,O75689,PF00169
1136,O75689,PF01412
1137,O75695,PF07986
1138,O75711,PF15224
1139,O75715,PF00255
1140,O75716,PF00069
1141,O75746,PF00153
1142,O75751,PF07690
1143,O75771,PF08423
1144,O75781,PF03285
1145,O75783,PF01694
1146,O75787,PF07850
1147,O75791,PF00017
1148,O75791,PF00018
1149,O75792,PF01351
1150,O75794,PF07065
1151,O75795,PF00201
1152,O75800,PF01753
1153,O75807,PF10488
1154,O75817,PF12328
1155,O75818,PF08584
1156,O75821,PF00076
1157,O75821,PF12353
1158,O75822,PF08597
1159,O75828,PF00106
1160,O75830,PF00079
1161,O75832,PF12796
1162,O75841,PF00335
1163,O75844,PF01435
1164,O75844,PF16491
1165,O75845,PF04116
1166,O75865,PF04051
1167,O75871,PF07686
1168,O75874,PF00180
1169,O75879,PF02934
1170,O75879,PF02637
1171,O75880,PF02630
1172,O75881,PF00067
1173,O75884,PF06821
1174,O75886,PF02809
1175,O75886,PF00790
1176,O75886,PF00018
1177,O75888,PF00229
1178,O75897,PF00685
1179,O75908,PF03062
1180,O75909,PF00134
1181,O75909,PF02984
1182,O75911,PF00106
1183,O75914,PF00786
1184,O75914,PF00069
1185,O75915,PF03208
1186,O75916,PF00631
1187,O75916,PF18148
1188,O75916,PF00615
1189,O75916,PF00610
1190,O75925,PF14324
1191,O75925,PF02891
1192,O75928,PF14324
1193,O75928,PF02891
1194,O75934,PF05700
1195,O75935,PF07426
1196,O75936,PF02668
1197,O75936,PF06155
1198,O75937,PF00226
1199,O75940,PF06003
1200,O75947,PF05873
1201,O75952,PF02197
1202,O75953,PF01556
1203,O75953,PF00226
1204,O75954,PF00335
1205,O75955,PF01145
1206,O75964,PF04718
1207,O75971,PF15497
1208,O76000,PF13853
1209,O76001,PF13853
1210,O76002,PF13853
1211,O76003,PF00462
1212,O76003,PF00085
1213,O76009,PF00038
1214,O76011,PF00038
1215,O76013,PF00038
1216,O76014,PF00038
